District,Zone,Geographical Region,Development Region,Grade ,Boys/Girls ,Numbers
Dadeldhura,Mahakali,Hill,Far-Western,Grade 8,Boys,1830
Dadeldhura,Mahakali,Hill,Far-Western,Grade 6-8,Girls,6784
Dadeldhura,Mahakali,Hill,Far-Western,Grade 6-8,Boys,6249
Dailekh,Bheri,Hill,Mid-Western,Grade 6,Girls,4727
Dailekh,Bheri,Hill,Mid-Western,Grade 6,Boys,4351
Dailekh,Bheri,Hill,Mid-Western,Grade 7,Girls,4683
Dailekh,Bheri,Hill,Mid-Western,Grade 7,Boys,4114
Dailekh,Bheri,Hill,Mid-Western,Grade 8,Girls,4469
Dailekh,Bheri,Hill,Mid-Western,Grade 8,Boys,4237
Dailekh,Bheri,Hill,Mid-Western,Grade 6-8,Girls,13879
Dailekh,Bheri,Hill,Mid-Western,Grade 6-8,Boys,12702
Dang,Rapti,Terai,Mid-Western,Grade 6,Girls,7409
Dang,Rapti,Terai,Mid-Western,Grade 6,Boys,6513
Dang,Rapti,Terai,Mid-Western,Grade 7,Girls,6791
Dang,Rapti,Terai,Mid-Western,Grade 7,Boys,5553
Dang,Rapti,Terai,Mid-Western,Grade 8,Girls,6237
Dang,Rapti,Terai,Mid-Western,Grade 8,Boys,5092
Dang,Rapti,Terai,Mid-Western,Grade 6-8,Girls,20437
Dang,Rapti,Terai,Mid-Western,Grade 6-8,Boys,17158
Darchaula,Mahakali,Mountain,Far-Western,Grade 6,Girls,2018
Darchaula,Mahakali,Mountain,Far-Western,Grade 6,Boys,1920
Darchaula,Mahakali,Mountain,Far-Western,Grade 7,Girls,1773
Darchaula,Mahakali,Mountain,Far-Western,Grade 7,Boys,1861
Darchaula,Mahakali,Mountain,Far-Western,Grade 8,Girls,1637
Darchaula,Mahakali,Mountain,Far-Western,Grade 8,Boys,1702
Darchaula,Mahakali,Mountain,Far-Western,Grade 6-8,Girls,5428
Darchaula,Mahakali,Mountain,Far-Western,Grade 6-8,Boys,5483
Dhading,Bagmati,Hill,Central,Grade 6,Girls,5507
Dhading,Bagmati,Hill,Central,Grade 6,Boys,4828
Dhading,Bagmati,Hill,Central,Grade 7,Girls,4901
Dhading,Bagmati,Hill,Central,Grade 7,Boys,4326
Dhading,Bagmati,Hill,Central,Grade 8,Girls,4482
Dhading,Bagmati,Hill,Central,Grade 8,Boys,3703
Dhading,Bagmati,Hill,Central,Grade 6-8,Girls,14890
Dhading,Bagmati,Hill,Central,Grade 6-8,Boys,12857
Dhankuta,Kosi,Hill,Eastern,Grade 6,Girls,2412
Dhankuta,Kosi,Hill,Eastern,Grade 6,Boys,2397
Dhankuta,Kosi,Hill,Eastern,Grade 7,Girls,2392
Dhankuta,Kosi,Hill,Eastern,Grade 7,Boys,2219
Dhankuta,Kosi,Hill,Eastern,Grade 8,Girls,2320
Dhankuta,Kosi,Hill,Eastern,Grade 8,Boys,2054
Dhankuta,Kosi,Hill,Eastern,Grade 6-8,Girls,7124
Dhankuta,Kosi,Hill,Eastern,Grade 6-8,Boys,6670
Dhanusa,Janakpur,Terai,Central,Grade 6,Girls,6022
Dhanusa,Janakpur,Terai,Central,Grade 6,Boys,6210
Dhanusa,Janakpur,Terai,Central,Grade 7,Girls,6346
Dhanusa,Janakpur,Terai,Central,Grade 7,Boys,6195
Dhanusa,Janakpur,Terai,Central,Grade 8,Girls,5209
Dhanusa,Janakpur,Terai,Central,Grade 8,Boys,5776
Dhanusa,Janakpur,Terai,Central,Grade 6-8,Girls,17577
Dhanusa,Janakpur,Terai,Central,Grade 6-8,Boys,18181
Dolakha,Janakpur,Mountain,Central,Grade 6,Girls,3092
Dolakha,Janakpur,Mountain,Central,Grade 6,Boys,2704
Dolakha,Janakpur,Mountain,Central,Grade 7,Girls,2949
Dolakha,Janakpur,Mountain,Central,Grade 7,Boys,2516
Dolakha,Janakpur,Mountain,Central,Grade 8,Girls,2767
Dolakha,Janakpur,Mountain,Central,Grade 8,Boys,2434
Dolakha,Janakpur,Mountain,Central,Grade 6-8,Girls,8808
Dolakha,Janakpur,Mountain,Central,Grade 6-8,Boys,7654
Dolpa,Karnali,Mountain,Mid-Western,Grade 6,Girls,364
Dolpa,Karnali,Mountain,Mid-Western,Grade 6,Boys,372
Dolpa,Karnali,Mountain,Mid-Western,Grade 7,Girls,276
Dolpa,Karnali,Mountain,Mid-Western,Grade 7,Boys,343
Dolpa,Karnali,Mountain,Mid-Western,Grade 8,Girls,291
Dolpa,Karnali,Mountain,Mid-Western,Grade 8,Boys,359
Dolpa,Karnali,Mountain,Mid-Western,Grade 6-8,Girls,931
Dolpa,Karnali,Mountain,Mid-Western,Grade 6-8,Boys,1074
Doti,Seti,Hill,Far-Western,Grade 6,Girls,2822
Doti,Seti,Hill,Far-Western,Grade 6,Boys,2834
Doti,Seti,Hill,Far-Western,Grade 7,Girls,2026
Doti,Seti,Hill,Far-Western,Grade 7,Boys,2460
Doti,Seti,Hill,Far-Western,Grade 8,Girls,1852
Doti,Seti,Hill,Far-Western,Grade 8,Boys,2109
Doti,Seti,Hill,Far-Western,Grade 6-8,Girls,6700
