District,Zone,Geographical Region,Development Region,Year BS,Year AD,Grade Category,Grade,Gender,Ethnicity,Number of students
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary  Dalit,Grade 11,Boys,Dalit,65
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary  Dalit,Grade 11,Total,Dalit,115
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary  Dalit,Grade 12,Girls,Dalit,14
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary  Dalit,Grade 12,Boys,Dalit,24
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary  Dalit,Grade 12,Total,Dalit,38
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary Janjati,Grade 11,Girls,Janjati,35
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary Janjati,Grade 11,Boys,Janjati,44
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary Janjati,Grade 11,Total,Janjati,79
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary Janjati,Grade 12,Girls,Janjati,17
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary Janjati,Grade 12,Boys,Janjati,20
Dailekh,Bheri,Hill,Mid-Western,2064,2007,Higher Secondary Janjati,Grade 12,Total,Janjati,37
Dailekh,Bheri,Hill,Mid-Western,2065,2008,ECD/PPC,ECD/PPC,Girls,Dalit,8
Dailekh,Bheri,Hill,Mid-Western,2065,2008,ECD/PPC,ECD/PPC,Boys,Dalit,3
Dailekh,Bheri,Hill,Mid-Western,2065,2008,ECD/PPC,ECD/PPC,Total,Dalit,11
Dailekh,Bheri,Hill,Mid-Western,2065,2008,ECD/PPC,ECD/PPC,Girls,Janjati,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,ECD/PPC,ECD/PPC,Boys,Janjati,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,ECD/PPC,ECD/PPC,Total,Janjati,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,ECD/PPC,ECD/PPC,Girls,Others,2
Dailekh,Bheri,Hill,Mid-Western,2065,2008,ECD/PPC,ECD/PPC,Boys,Others,0
Dailekh,Bheri,Hill,Mid-Western,2065,2008,ECD/PPC,ECD/PPC,Total,Others,2
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 1,Girls,Others,9268
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 1,Boys,Others,9828
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 1,Total,Others,19096
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 2,Girls,Others,5805
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 2,Boys,Others,5245
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 2,Total,Others,11050
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 3,Girls,Others,5017
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 3,Boys,Others,4815
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 3,Total,Others,9832
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 4,Girls,Others,4727
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 4,Boys,Others,4416
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 4,Total,Others,9143
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 5,Girls,Others,3385
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 5,Boys,Others,3398
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Total enrollment,Grade 5,Total,Others,6783
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 1,Girls,Dalit,4096
Dailekh,Bheri,Hill,Mid-Western,2065,2008,Primary Dalit enrollment,Grade 1,Boys,Dalit,4049
