District,Year,Total,Male,Female
Humla,2007,402,342,60
Bhaktapur,2008,4739,2406,2333
Bhaktapur,2009,4739,2406,2333
Bhaktapur,2010,5141,2605,2536
Bhaktapur,2011,5141,2605,2536
Bhaktapur,2007,2184,1276,908
Sindhuli,2008,2492,1754,738
Sindhuli,2009,2934,2050,884
Sindhuli,2010,3558,2443,1115
Sindhuli,2011,3660,2524,1136
Sindhuli,2007,1523,1160,363
Jhapa,2008,6153,4221,1932
Jhapa,2009,7086,4759,2327
Jhapa,2010,9748,6255,3493
Jhapa,2011,9767,6255,3512
Jhapa,2007,5719,4040,1679
Dhankuta,2008,1743,1215,528
Dhankuta,2009,1930,1317,613
Dhankuta,2010,2132,1412,720
Dhankuta,2011,2159,1412,747
Dhankuta,2007,1614,1171,443
Manang,2008,212,146,66
Manang,2009,213,146,67
Manang,2010,206,148,58
Manang,2011,207,149,58
Manang,2007,198,139,59
Bardiya,2008,2541,1697,844
Bardiya,2009,2843,1919,924
Bardiya,2010,3140,2103,1037
Bardiya,2011,3140,2103,1037
Bardiya,2007,2222,1533,689
Nuwakot,2008,2551,1867,684
Nuwakot,2009,2758,1880,878
Nuwakot,2010,2532,1729,803
Nuwakot,2011,2599,1720,879
Nuwakot,2007,2269,1689,580
Ramechhap,2008,2112,1543,569
Ramechhap,2009,2455,1732,723
Ramechhap,2010,2891,1923,968
Ramechhap,2011,2915,1939,976
Ramechhap,2007,1930,1424,506
Terhathum,2008,1423,1072,351
Terhathum,2009,1489,1098,391
Terhathum,2010,1598,1152,446
Terhathum,2011,1624,1168,456
Terhathum,2007,1384,1046,338
Rautahat,2008,2061,1570,491
Rautahat,2009,2063,1570,493
Rautahat,2010,2287,1729,558
Rautahat,2011,2387,1829,558
Rautahat,2007,1723,1378,345
Kapilbastu,2008,3447,2303,1144
Kapilbastu,2009,3447,2303,1144
Kapilbastu,2010,3807,2473,1334
Kapilbastu,2011,3973,2572,1401
Kapilbastu,2007,2058,1447,611
Jumla,2008,804,552,252
Jumla,2009,805,552,253
Jumla,2010,1089,846,243
Jumla,2011,1089,846,243
Jumla,2007,550,342,208
Bara,2008,2291,1731,560
Bara,2009,2291,1731,560
Bara,2010,2893,2176,717
Bara,2011,2893,2176,717
Bara,2007,1483,1133,350
Bajura,2008,1114,932,182
Bajura,2009,1293,1052,241
Bajura,2010,1449,1168,281
Bajura,2011,2159,1741,418
Bajura,2007,1003,857,146
Dhanusha,2008,2347,1763,584
Dhanusha,2009,2434,1848,586
Dhanusha,2010,2540,1908,632
Dhanusha,2011,2589,1957,632
Dhanusha,2007,1666,1318,348
Kanchanpur,2008,2756,1975,781
Kanchanpur,2009,3117,2185,932
Kanchanpur,2010,3120,2185,935
Kanchanpur,2011,3120,2185,935
Kanchanpur,2007,2034,1506,528
Palpa,2008,3407,2315,1092
Palpa,2009,3859,2603,1256
Palpa,2010,4316,2835,1481
Palpa,2011,4423,2863,1560
Palpa,2007,3330,2335,995
Dailekh,2008,1929,1485,444
Dailekh,2009,1929,1485,444
Dailekh,2010,2327,1663,664
Dailekh,2011,2327,1663,664
Dailekh,2007,1597,1292,305
Sankhuwasabha,2008,1937,1471,466
Sankhuwasabha,2009,2065,1540,525
Sankhuwasabha,2010,2226,1630,596
Sankhuwasabha,2011,2502,1831,671
Sankhuwasabha,2007,1778,1398,380
Tanahu,2008,3887,2567,1320
Tanahu,2009,4525,2870,1655
Tanahu,2010,4547,2728,1819
Tanahu,2011,4573,2728,1845
Tanahu,2007,2603,1919,684
Nawalparasi,2008,4435,2978,1457
Nawalparasi,2009,5668,3761,1907
Nawalparasi,2010,5023,3290,1733
Nawalparasi,2011,5958,3644,2314
Nawalparasi,2007,4048,2697,1351
Surkhet,2008,2904,2133,771
Surkhet,2009,2907,2133,774
Surkhet,2010,3183,2137,1046
Surkhet,2011,3309,2248,1061
