District ,Zone,Geographical Region,Development Region,Level,Number of Student 
Bhaktapur,Bagmati,Hill,Central,Grade(11-12),4389
Bhojpur,Kosi,Hill,Eastern,Grade (1-5),32129
Bhojpur,Kosi,Hill,Eastern,Grade(6-8),15548
Bhojpur,Kosi,Hill,Eastern,Grade (9-10),7087
Bhojpur,Kosi,Hill,Eastern,Grade(11-12),2503
Chitawan,Narayani,Terai,Central,Grade (1-5),77460
Chitawan,Narayani,Terai,Central,Grade(6-8),42797
Chitawan,Narayani,Terai,Central,Grade (9-10),23200
Chitawan,Narayani,Terai,Central,Grade(11-12),8109
Dadeldhura,Mahakali,Hill,Far-Western,Grade (1-5),27422
Dadeldhura,Mahakali,Hill,Far-Western,Grade(6-8),13033
Dadeldhura,Mahakali,Hill,Far-Western,Grade (9-10),5153
Dadeldhura,Mahakali,Hill,Far-Western,Grade(11-12),1896
Dailekh,Bheri,Hill,Mid-Western,Grade (1-5),64024
Dailekh,Bheri,Hill,Mid-Western,Grade(6-8),26581
Dailekh,Bheri,Hill,Mid-Western,Grade (9-10),12178
Dailekh,Bheri,Hill,Mid-Western,Grade(11-12),4672
Dang,Rapti,Terai,Mid-Western,Grade (1-5),80251
Dang,Rapti,Terai,Mid-Western,Grade(6-8),37595
Dang,Rapti,Terai,Mid-Western,Grade (9-10),19691
Dang,Rapti,Terai,Mid-Western,Grade(11-12),7825
Darchaula,Mahakali,Mountain,Far-Western,Grade (1-5),27809
Darchaula,Mahakali,Mountain,Far-Western,Grade(6-8),10911
Darchaula,Mahakali,Mountain,Far-Western,Grade (9-10),5056
Darchaula,Mahakali,Mountain,Far-Western,Grade(11-12),3412
Dhading,Bagmati,Hill,Central,Grade (1-5),60114
Dhading,Bagmati,Hill,Central,Grade(6-8),27747
Dhading,Bagmati,Hill,Central,Grade (9-10),12657
Dhading,Bagmati,Hill,Central,Grade(11-12),5785
Dhankuta,Kosi,Hill,Eastern,Grade (1-5),24552
Dhankuta,Kosi,Hill,Eastern,Grade(6-8),13794
Dhankuta,Kosi,Hill,Eastern,Grade (9-10),6773
Dhankuta,Kosi,Hill,Eastern,Grade(11-12),3770
Dhanusa,Janakpur,Terai,Central,Grade (1-5),123856
Dhanusa,Janakpur,Terai,Central,Grade(6-8),35758
Dhanusa,Janakpur,Terai,Central,Grade (9-10),15341
Dhanusa,Janakpur,Terai,Central,Grade(11-12),626
Dolakha,Janakpur,Mountain,Central,Grade (1-5),34320
Dolakha,Janakpur,Mountain,Central,Grade(6-8),16462
Dolakha,Janakpur,Mountain,Central,Grade (9-10),8229
Dolakha,Janakpur,Mountain,Central,Grade(11-12),3937
Dolpa,Karnali,Mountain,Mid-Western,Grade (1-5),6892
Dolpa,Karnali,Mountain,Mid-Western,Grade(6-8),2005
Dolpa,Karnali,Mountain,Mid-Western,Grade (9-10),915
Dolpa,Karnali,Mountain,Mid-Western,Grade(11-12),276
Doti,Seti,Hill,Far-Western,Grade (1-5),46020
Doti,Seti,Hill,Far-Western,Grade(6-8),14103
