District,Zone,Geographical Region,Development Region,Sub Group,Number
Doti,Seti,Hill,Far-Western,Grade 10 Girls,1158
Doti,Seti,Hill,Far-Western,Grade 10 Boys,1408
Doti,Seti,Hill,Far-Western,Grade 9-10 Girls,2481
Doti,Seti,Hill,Far-Western,Grade 9-10 Boys,3265
Gorkha,Gandaki,Hill,Western,Grade 9 Girls,3428
Gorkha,Gandaki,Hill,Western,Grade 9 Boys,3256
Gorkha,Gandaki,Hill,Western,Grade 10 Girls,2489
Gorkha,Gandaki,Hill,Western,Grade 10 Boys,2439
Gorkha,Gandaki,Hill,Western,Grade 9-10 Girls,5917
Gorkha,Gandaki,Hill,Western,Grade 9-10 Boys,5695
Gulmi,Lumbini,Hill,Western,Grade 9 Girls,3211
Gulmi,Lumbini,Hill,Western,Grade 9 Boys,2846
Gulmi,Lumbini,Hill,Western,Grade 10 Girls,2573
Gulmi,Lumbini,Hill,Western,Grade 10 Boys,2421
Gulmi,Lumbini,Hill,Western,Grade 9-10 Girls,5784
Gulmi,Lumbini,Hill,Western,Grade 9-10 Boys,5267
Humla,Karnali,Mountain,Mid-Western,Grade 9 Girls,259
Humla,Karnali,Mountain,Mid-Western,Grade 9 Boys,444
Humla,Karnali,Mountain,Mid-Western,Grade 10 Girls,262
Humla,Karnali,Mountain,Mid-Western,Grade 10 Boys,460
Humla,Karnali,Mountain,Mid-Western,Grade 9-10 Girls,521
Humla,Karnali,Mountain,Mid-Western,Grade 9-10 Boys,904
Ilam,Mechi,Hill,Eastern,Grade 9 Girls,2781
Ilam,Mechi,Hill,Eastern,Grade 9 Boys,2250
Ilam,Mechi,Hill,Eastern,Grade 10 Girls,2488
Ilam,Mechi,Hill,Eastern,Grade 10 Boys,2004
Ilam,Mechi,Hill,Eastern,Grade 9-10 Girls,5269
Ilam,Mechi,Hill,Eastern,Grade 9-10 Boys,4254
Jajarkot,Bheri,Hill,Mid-Western,Grade 9 Girls,2026
Jajarkot,Bheri,Hill,Mid-Western,Grade 9 Boys,2214
Jajarkot,Bheri,Hill,Mid-Western,Grade 10 Girls,2013
Jajarkot,Bheri,Hill,Mid-Western,Grade 10 Boys,2254
Jajarkot,Bheri,Hill,Mid-Western,Grade 9-10 Girls,4039
Jajarkot,Bheri,Hill,Mid-Western,Grade 9-10 Boys,4468
Jhapa,Mechi,Terai,Eastern,Grade 9 Girls,7694
Jhapa,Mechi,Terai,Eastern,Grade 9 Boys,6885
Jhapa,Mechi,Terai,Eastern,Grade 10 Girls,6180
Jhapa,Mechi,Terai,Eastern,Grade 10 Boys,5290
Jhapa,Mechi,Terai,Eastern,Grade 9-10 Girls,13874
Jhapa,Mechi,Terai,Eastern,Grade 9-10 Boys,12175
Jumla,Karnali,Mountain,Mid-Western,Grade 9 Girls,699
Jumla,Karnali,Mountain,Mid-Western,Grade 9 Boys,915
Jumla,Karnali,Mountain,Mid-Western,Grade 10 Girls,641
Jumla,Karnali,Mountain,Mid-Western,Grade 10 Boys,1093
Jumla,Karnali,Mountain,Mid-Western,Grade 9-10 Girls,1340
Jumla,Karnali,Mountain,Mid-Western,Grade 9-10 Boys,2008
Kailali,Seti,Terai,Far-Western,Grade 9 Girls,7557
Kailali,Seti,Terai,Far-Western,Grade 9 Boys,7119
Kailali,Seti,Terai,Far-Western,Grade 10 Girls,6956
Kailali,Seti,Terai,Far-Western,Grade 10 Boys,7649
Kailali,Seti,Terai,Far-Western,Grade 9-10 Girls,14513
Kailali,Seti,Terai,Far-Western,Grade 9-10 Boys,14768
Kalikot,Karnali,Mountain,Mid-Western,Grade 9 Girls,1365
Kalikot,Karnali,Mountain,Mid-Western,Grade 9 Boys,2000
Kalikot,Karnali,Mountain,Mid-Western,Grade 10 Girls,1073
Kalikot,Karnali,Mountain,Mid-Western,Grade 10 Boys,1562
Kalikot,Karnali,Mountain,Mid-Western,Grade 9-10 Girls,2438
Kalikot,Karnali,Mountain,Mid-Western,Grade 9-10 Boys,3562
Kanchanpur,Mahakali,Terai,Far-Western,Grade 9 Girls,4773
Kanchanpur,Mahakali,Terai,Far-Western,Grade 9 Boys,4677
Kanchanpur,Mahakali,Terai,Far-Western,Grade 10 Girls,4092
Kanchanpur,Mahakali,Terai,Far-Western,Grade 10 Boys,3893
Kanchanpur,Mahakali,Terai,Far-Western,Grade 9-10 Girls,8865
Kanchanpur,Mahakali,Terai,Far-Western,Grade 9-10 Boys,8570
Kapilbastu,Lumbini,Terai,Western,Grade 9 Girls,3326
Kapilbastu,Lumbini,Terai,Western,Grade 9 Boys,3735
Kapilbastu,Lumbini,Terai,Western,Grade 10 Girls,2745
Kapilbastu,Lumbini,Terai,Western,Grade 10 Boys,3195
Kapilbastu,Lumbini,Terai,Western,Grade 9-10 Girls,6071
Kapilbastu,Lumbini,Terai,Western,Grade 9-10 Boys,6930
Kaski,Gandaki,Hill,Western,Grade 9 Girls,5465
Kaski,Gandaki,Hill,Western,Grade 9 Boys,5502
Kaski,Gandaki,Hill,Western,Grade 10 Girls,4991
Kaski,Gandaki,Hill,Western,Grade 10 Boys,5082
Kaski,Gandaki,Hill,Western,Grade 9-10 Girls,10456
Kaski,Gandaki,Hill,Western,Grade 9-10 Boys,10584
Kathmandu,Bagmati,Hill,Central,Grade 9 Girls,14199
Kathmandu,Bagmati,Hill,Central,Grade 9 Boys,15392
Kathmandu,Bagmati,Hill,Central,Grade 10 Girls,13066
Kathmandu,Bagmati,Hill,Central,Grade 10 Boys,13864
Kathmandu,Bagmati,Hill,Central,Grade 9-10 Girls,27265
Kathmandu,Bagmati,Hill,Central,Grade 9-10 Boys,29256
Kavre,Bagmati,Hill,Central,Grade 9 Girls,4915
Kavre,Bagmati,Hill,Central,Grade 9 Boys,4483
Kavre,Bagmati,Hill,Central,Grade 10 Girls,4188
Kavre,Bagmati,Hill,Central,Grade 10 Boys,3818
Kavre,Bagmati,Hill,Central,Grade 9-10 Girls,9103
Kavre,Bagmati,Hill,Central,Grade 9-10 Boys,8301
Khotang,Sagarmatha,Hill,Eastern,Grade 9 Girls,2720
Khotang,Sagarmatha,Hill,Eastern,Grade 9 Boys,2389
Khotang,Sagarmatha,Hill,Eastern,Grade 10 Girls,2387
Khotang,Sagarmatha,Hill,Eastern,Grade 10 Boys,2133
Khotang,Sagarmatha,Hill,Eastern,Grade 9-10 Girls,5107
Khotang,Sagarmatha,Hill,Eastern,Grade 9-10 Boys,4522
Lalitpur,Bagmati,Hill,Central,Grade 9 Girls,5117
Lalitpur,Bagmati,Hill,Central,Grade 9 Boys,5103
Lalitpur,Bagmati,Hill,Central,Grade 10 Girls,4729
Lalitpur,Bagmati,Hill,Central,Grade 10 Boys,4593
Lalitpur,Bagmati,Hill,Central,Grade 9-10 Girls,9846
Lalitpur,Bagmati,Hill,Central,Grade 9-10 Boys,9696
Lamjung,Gandaki,Hill,Western,Grade 9 Girls,2210
Lamjung,Gandaki,Hill,Western,Grade 9 Boys,2084
Lamjung,Gandaki,Hill,Western,Grade 10 Girls,1664
Lamjung,Gandaki,Hill,Western,Grade 10 Boys,1589
Lamjung,Gandaki,Hill,Western,Grade 9-10 Girls,3874
Lamjung,Gandaki,Hill,Western,Grade 9-10 Boys,3673
Mahottari,Janakpur,Terai,Central,Grade 9 Girls,3181
Mahottari,Janakpur,Terai,Central,Grade 9 Boys,4061
Mahottari,Janakpur,Terai,Central,Grade 10 Girls,2505
Mahottari,Janakpur,Terai,Central,Grade 10 Boys,3249
Mahottari,Janakpur,Terai,Central,Grade 9-10 Girls,5686
Mahottari,Janakpur,Terai,Central,Grade 9-10 Boys,7310
Makwanpur,Narayani,Hill,Central,Grade 9 Girls,3010
Makwanpur,Narayani,Hill,Central,Grade 9 Boys,2713
Makwanpur,Narayani,Hill,Central,Grade 10 Girls,2964
Makwanpur,Narayani,Hill,Central,Grade 10 Boys,2582
Makwanpur,Narayani,Hill,Central,Grade 9-10 Girls,5974
Makwanpur,Narayani,Hill,Central,Grade 9-10 Boys,5295
Manang,Gandaki,Mountain,Western,Grade 9 Girls,38
Manang,Gandaki,Mountain,Western,Grade 9 Boys,36
Manang,Gandaki,Mountain,Western,Grade 10 Girls,40
Manang,Gandaki,Mountain,Western,Grade 10 Boys,18
Manang,Gandaki,Mountain,Western,Grade 9-10 Girls,78
Manang,Gandaki,Mountain,Western,Grade 9-10 Boys,54
Morang,Kosi,Terai,Eastern,Grade 9 Girls,6703
Morang,Kosi,Terai,Eastern,Grade 9 Boys,6370
Morang,Kosi,Terai,Eastern,Grade 10 Girls,5543
Morang,Kosi,Terai,Eastern,Grade 10 Boys,5137
Morang,Kosi,Terai,Eastern,Grade 9-10 Girls,12246
Morang,Kosi,Terai,Eastern,Grade 9-10 Boys,11507
Mugu,Karnali,Mountain,Mid-Western,Grade 9 Girls,448
Mugu,Karnali,Mountain,Mid-Western,Grade 9 Boys,650
Mugu,Karnali,Mountain,Mid-Western,Grade 10 Girls,329
Mugu,Karnali,Mountain,Mid-Western,Grade 10 Boys,537
Mugu,Karnali,Mountain,Mid-Western,Grade 9-10 Girls,777
Mugu,Karnali,Mountain,Mid-Western,Grade 9-10 Boys,1187
Mustang,Dhawalagiri,Mountain,Western,Grade 9 Girls,67
Mustang,Dhawalagiri,Mountain,Western,Grade 9 Boys,74
Mustang,Dhawalagiri,Mountain,Western,Grade 10 Girls,54
Mustang,Dhawalagiri,Mountain,Western,Grade 10 Boys,61
Mustang,Dhawalagiri,Mountain,Western,Grade 9-10 Girls,121
Mustang,Dhawalagiri,Mountain,Western,Grade 9-10 Boys,135
Myagdi,Dhawalagiri,Hill,Western,Grade 9 Girls,1332
Myagdi,Dhawalagiri,Hill,Western,Grade 9 Boys,1216
Myagdi,Dhawalagiri,Hill,Western,Grade 10 Girls,1021
Myagdi,Dhawalagiri,Hill,Western,Grade 10 Boys,1004
Myagdi,Dhawalagiri,Hill,Western,Grade 9-10 Girls,2353
Myagdi,Dhawalagiri,Hill,Western,Grade 9-10 Boys,2220
Nawalparasi,Lumbini,Terai,Western,Grade 9 Girls,6392
Nawalparasi,Lumbini,Terai,Western,Grade 9 Boys,6226
Nawalparasi,Lumbini,Terai,Western,Grade 10 Girls,5040
Nawalparasi,Lumbini,Terai,Western,Grade 10 Boys,5324
Nawalparasi,Lumbini,Terai,Western,Grade 9-10 Girls,11432
Nawalparasi,Lumbini,Terai,Western,Grade 9-10 Boys,11550
Nuwakot,Bagmati,Hill,Central,Grade 9 Girls,2933
Nuwakot,Bagmati,Hill,Central,Grade 9 Boys,2450
Nuwakot,Bagmati,Hill,Central,Grade 10 Girls,2329
Nuwakot,Bagmati,Hill,Central,Grade 10 Boys,1977
Nuwakot,Bagmati,Hill,Central,Grade 9-10 Girls,5262
Nuwakot,Bagmati,Hill,Central,Grade 9-10 Boys,4427
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 9 Girls,1856
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 9 Boys,1644
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 10 Girls,1592
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 10 Boys,1393
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 9-10 Girls,3448
Okhaldhunga,Sagarmatha,Hill,Eastern,Grade 9-10 Boys,3037
Palpa,Lumbini,Hill,Western,Grade 9 Girls,2870
