District,Year,Total,Male,Female
Parsa,2008,126978,69613,57365
Parsa,2009,135709,72140,63569
Parsa,2010,142729,72924,69805
Parsa,2011,136729,68918,67811
Parsa,2007,111602,62930,48672
Lalitpur,2008,111543,56690,54853
Lalitpur,2009,119858,60088,59770
Lalitpur,2010,116673,59055,57618
Lalitpur,2011,110130,56466,53664
Lalitpur,2007,109851,56694,53157
Morang,2008,225355,111896,113459
Morang,2009,244323,119424,124899
Morang,2010,238819,116200,122619
Morang,2011,198910,94803,104107
Morang,2007,224429,113687,110742
Sarlahi,2008,126644,70550,56094
Sarlahi,2009,161039,85732,75307
Sarlahi,2010,156933,80546,76387
Sarlahi,2011,197427,102701,94726
Sarlahi,2007,107329,61193,46137
Mustang,2008,2567,1219,1348
Mustang,2009,2666,1308,1358
Mustang,2010,2715,1374,1341
Mustang,2011,2662,1312,1350
Mustang,2007,2564,1213,1351
Dang,2008,149073,73189,75884
Dang,2009,161859,79192,82667
Dang,2010,155693,73998,81695
Dang,2011,151586,71025,80561
Dang,2007,146486,73741,72746
Baglung,2008,95672,47229,48443
Baglung,2009,97133,47299,49834
Baglung,2010,94742,46371,48371
Baglung,2011,87703,42870,44833
Baglung,2007,90694,45247,45447
Syangja,2008,99064,47983,51081
Syangja,2009,98636,48195,50441
Syangja,2010,95761,46809,48952
Syangja,2011,87742,43055,44687
Syangja,2007,92752,45809,46943
Rupandehi,2008,173158,91293,81865
Rupandehi,2009,207278,106781,100497
Rupandehi,2010,196872,98784,98088
Rupandehi,2011,206756,104430,102326
Rupandehi,2007,179399,95200,84201
